Date,PE_RATIO
2001-08-31,22.7723
2001-07-31,24.1858
2001-06-29,24.263
2001-05-31,23.659
2001-04-30,23.4603
2001-03-30,21.5983
2001-02-28,22.5212
2001-01-31,24.7745
2000-12-29,24.0088
2000-11-30,23.64
2000-10-31,25.6446
2000-09-29,25.7631
2000-08-31,28.1279
2000-07-31,26.8209
2000-06-30,27.3147
2000-05-31,27.3209
2000-04-28,28.0701
2000-03-31,28.9437
2000-02-29,27.3285
2000-01-31,27.9078
1999-12-31,29.34
1999-11-30,28.9162
1999-10-29,28.4484
1999-09-30,27.0295
1999-08-31,28.5386
1999-07-30,28.7691
1999-06-30,29.883
1999-05-31,28.8438
1999-04-30,29.4975
1999-03-31,28.4606
1999-02-26,28.0381
1999-01-29,29.2092
1998-12-31,28.1609
1998-11-30,26.7131
1998-10-30,25.0851
1998-09-30,23.1148
1998-08-31,21.7897
1998-07-31,25.5114
1998-06-30,25.9138
1998-05-29,25.0111
1998-04-30,25.3236
1998-03-31,24.9926
1998-02-27,23.989
1998-01-30,22.393
1997-12-31,22.2347
1997-11-28,22.7399
1997-10-31,21.8119
1997-09-30,22.6119
1997-08-29,21.9033
1997-07-31,23.3307
1997-06-30,21.6254
1997-05-30,21.2797
1997-04-30,20.069
1997-03-31,18.9778
1997-02-28,20.3625
1997-01-31,20.3249
1996-12-31,18.9951
1996-11-29,20.6953
1996-10-31,19.2489
1996-09-30,18.6973
1996-08-30,18.1751
1996-07-31,17.8241
1996-06-28,18.6863
1996-05-31,19.1652
1996-04-30,18.7808
1996-03-29,18.5754
1996-02-29,18.4889
1996-01-31,18.3957
1995-12-29,17.8028
1995-11-30,17.5036
1995-10-31,16.8604
1995-09-29,16.9302
1995-08-31,16.5626
1995-07-31,16.6219
1995-06-30,16.4428
1995-05-31,16.7035
1995-04-28,16.1594
1995-03-31,15.7779
1995-02-28,16.1732
1995-01-31,15.6063
1994-12-30,15.3461
1994-11-30,17.2264
1994-10-31,17.9454
1994-09-30,17.6905
1994-08-31,19.58
1994-07-29,18.8503
1994-06-30,18.1556
1994-05-31,20.8925
1994-04-29,20.7011
1994-03-31,20.4377
1994-02-28,22.0962
1994-01-31,22.7623
1993-12-31,22.0648
1993-11-30,23.3077
1993-10-29,23.6277
1993-09-30,23.1458
1993-08-31,24.7966
1993-07-30,24.0361
1993-06-30,24.436
1993-05-31,23.5384
1993-04-30,23.0531
1993-03-31,23.6078
1993-02-26,24.5655
1993-01-29,24.312
1992-12-31,24.4126
1992-11-30,25.4347
1992-10-30,24.7581
1992-09-30,24.5615
1992-08-31,25.6756
1992-07-31,26.381
1992-06-30,25.3305
1992-05-29,26.803
1992-04-30,26.3384
1992-03-31,25.7929
1992-02-28,26.4552
1992-01-31,26.2625
1991-12-31,26.6938
1991-11-29,20.8775
1991-10-31,21.7281
1991-09-30,21.312
1991-08-30,20.1102
1991-07-31,19.6481
1991-06-28,18.8369
1991-05-31,18.1072
1991-04-30,17.4859
1991-03-29,17.5298
1991-02-28,16.7071
1991-01-31,15.662
1990-12-31,15.2794
1990-11-30,14.728
1990-10-31,13.875
1990-09-28,13.356
1990-08-31,13.9635
1990-07-31,15.3671
1990-06-29,15.3688
1990-05-31,15.4024
1990-04-30,14.1063
1990-03-30,14.4666
1990-02-28,13.9688
1990-01-31,13.7883
1989-12-29,14.71
1989-11-30,14.555
1989-10-31,13.7948
1989-09-29,13.68
1989-08-31,13.6762
1989-07-31,13.6955
1989-06-30,13.07
1989-05-31,12.7574
1989-04-28,12.92
1989-03-31,12.3
1989-02-28,12.8771
1989-01-31,12.878
1988-12-30,12.19
1988-11-30,12.1062
1988-10-31,13.0005
1988-09-30,12.42
1988-08-31,14.1496
1988-07-29,14.12
1988-06-30,14.7949
1988-05-31,14.1104
1988-04-29,15.07
1988-03-31,14.75
1988-02-29,15.3267
1988-01-29,15.72
