Dates,SPTR500N Index,,SPTR500N Index,,SPXT Index,,SPXT Index
,,,,2018-06-29,5350.83,2018-07-01,5350.83
,,,,2018-07-31,5549.96,2018-08-01,5544.19
,,,,2018-08-31,5730.8,2018-09-01,5730.8
,,,,2018-09-28,5763.42,2018-10-01,5784.45
,,,,2018-10-31,5369.49,2018-11-01,5426.33
,,,,2018-11-30,5478.91,2018-12-01,5478.91
,,,,2018-12-31,4984.22,2019-01-01,4984.22
,,,,2019-01-31,5383.63,2019-02-01,5389.19
,,,,2019-02-28,5556.49,2019-03-01,5595.11
,,,,2019-03-29,5664.46,2019-04-01,5730.04
,,,,2019-04-30,5893.81,2019-05-01,5849.65
,,,,2019-05-31,5519.27,2019-06-01,5519.27
,,,,2019-06-28,5908.25,2019-07-01,5953.63
,,,,2019-07-31,5993.17,2019-08-01,5939.83
,,,,2019-08-30,5898.23,2019-09-01,5898.23
,,,,2019-09-30,6008.59,2019-10-01,5935.2
,,,,2019-10-31,6138.73,2019-11-01,6198.59
,,,,2019-11-29,6361.56,2019-12-01,6361.56
,,,,2019-12-31,6553.57,2020-01-01,6553.57
,,,,2020-01-31,6551,2020-02-01,6551
,,,,2020-02-28,6011.73,2020-03-01,6011.73
,,,,2020-03-31,5269.2,2020-04-01,5036.64
,,,,2020-04-30,5944.68,2020-05-01,5778.53
,,,,2020-05-29,6227.81,2020-06-01,6251.48
,,,,2020-06-30,6351.67,2020-07-01,6383.76
,,,,2020-07-31,6709.81,2020-08-01,6709.81
,,,,2020-08-31,7192.11,2020-09-01,7246.37
,,,,2020-09-30,6918.83,2020-10-01,6956.2
,,,,2020-10-30,6734.84,2020-11-01,6734.84
,,,,2020-11-30,7472.06,2020-12-01,7556.51
,,,,2020-12-31,7759.35,2021-01-01,7759.35
,,,,2021-01-29,7681.01,2021-02-01,7804.31
,,,,2021-02-26,7892.81,2021-03-01,8080.78
